country,year,billionaire_count,total_net_worth,gdp
Australia,2023,47,183.5,1641762491418.85
France,2023,43,590.0,2671234714330.38
Switzerland,2023,41,206.3,795978145781.87
Japan,2023,40,151.1,4605911988191.95
Sweden,2023,39,140.4,573717486152.92
Singapore,2023,37,124.8,387147091448.002
Israel,2023,30,113.3,418095492045.796
South Korea,2023,30,74.4,1764487367948.7
Indonesia,2023,29,138.4,1178924195856.71
Thailand,2023,28,100.8,458457299263.157
Spain,2023,27,135.2,1381292229418.88
Turkey,2023,26,57.8,1255449309088.75
Malaysia,2023,18,54.7,401479163711.428
Mexico,2023,14,168.9,1328780925599.41
Philippines,2023,14,41.4,430342487096.573
Netherlands,2023,12,40.6,917196718601.978
Norway,2023,12,36.3,435564038441.666
Austria,2023,11,70.7,423156281454.21
Czechia,2023,11,61.4,219949654880.837
Cyprus,2023,9,36.8,29983718475.0646
Ireland,2023,9,36.2,486429697970.113
Denmark,2023,8,42.2,364524261928.203
Chile,2023,7,41.9,279676771459.229
Finland,2023,7,14.0,254562199573.437
Poland,2023,7,21.6,638035044435.602
Egypt,2023,6,19.1,470885106095.168
Greece,2023,6,16.6,219965719224.042
Kazakhstan,2023,6,22.6,232848717043.771
Lebanon,2023,6,11.8,20303702352.295
Romania,2023,6,8.8,236318495899.176
Vietnam,2023,6,12.6,377364153384.169
Argentina,2023,5,12.8,588959512629.692
South Africa,2023,5,25.6,363308097945.479
Ukraine,2023,5,11.6,76159411195.0331
Belgium,2023,4,15.8,527263714444.414
Colombia,2023,4,18.1,356787344438.831
Peru,2023,4,5.5,221775234260.737
United Arab Emirates,2023,4,21.4,445641058027.777
Hungary,2023,3,3.9,156187937314.849
Monaco,2023,3,12.4,8748833912.54286
New Zealand,2023,3,12.7,218152542756.614
Nigeria,2023,3,28.5,550647684655.998
Bulgaria,2023,2,4.2,63302823436.9332
Georgia,2023,2,8.6,22963990766.7474
Morocco,2023,2,2.8,130320714718.834
Oman,2023,2,4.3,91384587286.8628
Qatar,2023,2,3.0,172936988054.474
Slovakia,2023,2,3.1,104403760583.519
Algeria,2023,1,4.6,215143978139.689
Armenia,2023,1,1.2,15406163977.6894
Bangladesh,2023,1,1.0,323279976841.364
Barbados,2023,1,1.4,5571685827.33474
Belize,2023,1,3.9,2553897572.45142
Croatia,2023,1,1.6,66182676637.3453
Estonia,2023,1,1.3,27574843698.0953
Eswatini (Swaziland),2023,1,6.5,4585402385.65415
Guernsey,2023,1,2.3,0.0
Iceland,2023,1,2.5,23245527336.2072
Liechtenstein,2023,1,2.3,515060189857.047
Macau,2023,1,1.3,0.0
Nepal,2023,1,1.8,33735853500.29
Panama,2023,1,1.0,75232121007.6293
Portugal,2023,1,4.7,235813117071.956
St. Kitts and Nevis,2023,1,1.3,1005564662.29904
Tanzania,2023,1,1.5,70563656177.7408
Venezuela,2023,1,4.3,950988378.262938
Zimbabwe,2023,1,1.9,23052607292.3638
United States,2024,813,5700.8,22062578283266.8
China,2024,406,1335.6,17175670911003.5
India,2024,200,953.7,3215973434046.11
Germany,2024,132,643.9,3692366831510.82
Russia,2024,120,536.5,1524520243059.52
Italy,2024,73,301.7,2010974774790.36
Brazil,2024,69,230.9,1954752120905.5
Canada,2024,67,314.7,1783097209318.73
Hong Kong,2024,67,329.7,328370191789.519
United Kingdom,2024,55,225.3,3234504373105.3
France,2024,53,673.5,2671234714330.38
Taiwan,2024,51,145.2,0.0
Australia,2024,48,214.5,1641762491418.85
Sweden,2024,43,162.0,573717486152.92
Japan,2024,41,181.4,4605911988191.95
Switzerland,2024,41,224.1,795978145781.87
Singapore,2024,39,115.5,387147091448.002
Israel,2024,36,137.8,418095492045.796
South Korea,2024,36,92.1,1764487367948.7
Indonesia,2024,35,200.9,1178924195856.71
Spain,2024,29,177.1,1381292229418.88
Turkey,2024,27,56.1,1255449309088.75
Thailand,2024,26,85.3,458457299263.157
Mexico,2024,22,199.7,1328780925599.41
Malaysia,2024,17,51.5,401479163711.428
Philippines,2024,16,49.2,430342487096.573
Netherlands,2024,14,47.0,917196718601.978
Norway,2024,12,41.2,435564038441.666
Czechia,2024,11,66.7,219949654880.837
Ireland,2024,11,52.9,486429697970.113
Belgium,2024,10,36.3,527263714444.414
Cyprus,2024,10,55.7,29983718475.0646
Greece,2024,10,26.8,219965719224.042
Austria,2024,9,75.6,423156281454.21
Denmark,2024,9,50.4,364524261928.203
Poland,2024,8,26.5,638035044435.602
Finland,2024,7,14.9,254562199573.437
Chile,2024,6,42.2,279676771459.229
Kazakhstan,2024,6,25.4,232848717043.771
Lebanon,2024,6,11.8,20303702352.295
Romania,2024,6,10.6,236318495899.176
South Africa,2024,6,29.4,363308097945.479
Vietnam,2024,6,13.9,377364153384.169
Argentina,2024,5,19.5,588959512629.692
Egypt,2024,5,18.4,470885106095.168
Hungary,2024,5,6.8,156187937314.849
Ukraine,2024,5,9.4,76159411195.0331
Colombia,2024,4,29.6,356787344438.831
New Zealand,2024,4,15.9,218152542756.614
Nigeria,2024,4,26.7,550647684655.998
United Arab Emirates,2024,4,27.8,445641058027.777
Monaco,2024,3,11.0,8748833912.54286
Bulgaria,2024,2,4.2,63302823436.9332
Georgia,2024,2,10.1,22963990766.7474
Morocco,2024,2,3.1,130320714718.834
Oman,2024,2,4.9,91384587286.8628
Qatar,2024,2,3.5,172936988054.474
Slovakia,2024,2,3.4,104403760583.519
Uruguay,2024,2,2.2,61988013788.3355
Algeria,2024,1,2.5,215143978139.689
Armenia,2024,1,1.1,15406163977.6894
Bangladesh,2024,1,1.1,323279976841.364
Barbados,2024,1,1.4,5571685827.33474
Belize,2024,1,4.7,2553897572.45142
Croatia,2024,1,1.7,66182676637.3453
Estonia,2024,1,2.2,27574843698.0953
Eswatini (Swaziland),2024,1,7.2,4585402385.65415
Guernsey,2024,1,2.6,0.0
Iceland,2024,1,2.1,23245527336.2072
Liechtenstein,2024,1,1.5,515060189857.047
Luxembourg,2024,1,1.1,70870003856.6378
Nepal,2024,1,1.8,33735853500.29
Panama,2024,1,1.1,75232121007.6293
Portugal,2024,1,5.7,235813117071.956
St. Kitts and Nevis,2024,1,1.3,1005564662.29904
Tanzania,2024,1,1.8,70563656177.7408
Venezuela,2024,1,4.4,950988378.262938
Zimbabwe,2024,1,1.8,23052607292.3638
