Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Zhuang Min,Germany,78.04,Real Estate,Self-Made,Second Generation,50,Dropout,No,Medium
Jorge Paulo Lemann & family,India,18.61,Media,Self-Made,First Generation,54,Bachelor’s,No,High
François Pinault & family,Brazil,61.6,Finance,Self-Made,First Generation,37,Master’s,Yes,Medium
David Reuben,UK,18.29,Real Estate,Self-Made,First Generation,50,Dropout,Yes,High
Henry Sy,Brazil,84.59,Manufacturing,Self-Made,Multi-Generational,26,Bachelor’s,Yes,Low
Hans Rausing & family,UK,30.48,Manufacturing,Self-Made,First Generation,51,None,Yes,High
Carlos Alberto Sicupira & family,Brazil,91.02,Retail,Self-Made,Second Generation,28,Bachelor’s,Yes,Medium
"Samuel Irving Newhouse, Jr.",Germany,35.11,Retail,Self-Made,First Generation,43,Bachelor’s,Yes,Medium
David Green & family,Switzerland,77.21,Finance,Inherited,Second Generation,32,Dropout,No,Medium
Tsai Eng-Meng & family,Thailand,26.45,Media,Self-Made,First Generation,40,Dropout,Yes,Medium
Antonia Ax:son Johnson & family,Brazil,98.1,Media,Self-Made,Second Generation,45,Bachelor’s,Yes,Low
Lin Yu-Ling,USA,16.38,Tech,Inherited,Second Generation,30,Master’s,No,Medium
Juan Francisco Beckmann Vidal & family,Brazil,36.55,Finance,Self-Made,First Generation,31,Bachelor’s,No,Medium
Vincent Bolloré & family,Thailand,72.6,Finance,Self-Made,First Generation,50,Bachelor’s,No,Medium
Maria-Elisabeth Schaeffler-Thumann,UK,81.78,Energy,Self-Made,First Generation,44,None,No,Low
Zhao Tao,Saudi Arabia,84.29,Manufacturing,Self-Made,First Generation,32,Dropout,Yes,Low
Abdulla Al Futtaim & family,Germany,90.12,Media,Self-Made,Multi-Generational,28,None,Yes,Low
Suhail Bahwan,Germany,36.26,Energy,Self-Made,Second Generation,51,Bachelor’s,No,Low
Xu Bo,Brazil,16.89,Tech,Self-Made,First Generation,53,Dropout,Yes,Low
Giuseppe De'Longhi & family,Germany,38.26,Manufacturing,Self-Made,Second Generation,25,Bachelor’s,Yes,Medium
Winifred Johnson-Marquart,India,12.96,Energy,Self-Made,First Generation,55,PhD,Yes,Low
Lucio Tan,Brazil,30.2,Tech,Self-Made,First Generation,32,Bachelor’s,No,Low
Dominika Kulczyk,UK,57.02,Finance,Self-Made,First Generation,31,Master’s,Yes,Medium
Yu Huijiao,UK,86.49,Finance,Inherited,Multi-Generational,31,Dropout,No,Medium
Bajaj brothers,Germany,9.68,Finance,Self-Made,First Generation,35,Bachelor’s,Yes,High
George Ty,Switzerland,99.26,Retail,Self-Made,Multi-Generational,55,Bachelor’s,Yes,Low
Nusli Wadia,Saudi Arabia,4.04,Real Estate,Self-Made,Second Generation,48,Bachelor’s,No,High
Tony Tan Caktiong,Japan,73.64,Energy,Inherited,Second Generation,31,Master’s,No,Medium
Nie Tengyun & family,India,69.36,Media,Self-Made,First Generation,34,Dropout,Yes,Low
Pawan Munjal & family,Switzerland,26.7,Manufacturing,Inherited,Multi-Generational,33,Dropout,No,Low
Clifford Asness,Japan,94.92,Real Estate,Inherited,Second Generation,38,Bachelor’s,No,High
Allan Goldman,Switzerland,91.34,Manufacturing,Inherited,Second Generation,23,None,No,Low
Jane Goldman,Thailand,69.5,Tech,Inherited,Multi-Generational,22,Bachelor’s,No,Low
Amy Goldman Fowler,Brazil,63.98,Manufacturing,Self-Made,First Generation,51,Dropout,Yes,Low
Diane Kemper,Brazil,37.8,Manufacturing,Inherited,Second Generation,29,Master’s,No,Medium
Jean-Pierre Cayard,UK,39.05,Finance,Inherited,Multi-Generational,37,Bachelor’s,No,Medium
Meisong Lai,Saudi Arabia,57.09,Energy,Self-Made,Multi-Generational,51,Bachelor’s,Yes,Medium
Zhang Fan,India,65.78,Media,Self-Made,First Generation,35,Dropout,No,Medium
Zhang Xiaojuan,UK,69.63,Real Estate,Inherited,Multi-Generational,39,Dropout,No,Low
Charles Cohen,Thailand,16.65,Retail,Self-Made,Second Generation,50,Bachelor’s,No,Low
Tahir & family,Germany,7.19,Retail,Self-Made,First Generation,31,Bachelor’s,No,Low
Jen-Hsun Huang,Brazil,83.4,Media,Self-Made,First Generation,35,Master’s,Yes,Low
Sebastian Piñera & family,Switzerland,88.7,Real Estate,Self-Made,Multi-Generational,32,Bachelor’s,Yes,Medium
Rita Tong Liu,Thailand,89.71,Media,Self-Made,First Generation,54,Bachelor’s,Yes,High
Svein Stole,Japan,89.76,Energy,Inherited,Multi-Generational,31,Bachelor’s,No,High
Zhang Jin,Saudi Arabia,61.48,Energy,Self-Made,Second Generation,31,Dropout,Yes,Medium
Acharya Balkrishna,USA,64.77,Manufacturing,Self-Made,First Generation,46,Master’s,Yes,Medium
Li Gaiteng,Brazil,16.16,Media,Self-Made,First Generation,35,Bachelor’s,Yes,Medium
Nick Caporella,USA,69.61,Real Estate,Inherited,Multi-Generational,19,Dropout,No,Low
Radhakishan Damani & family,Germany,68.72,Media,Self-Made,Second Generation,35,None,Yes,Medium
Bernard Lewis & family,Brazil,29.84,Real Estate,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Tsai Cheng-ta,UK,75.92,Media,Self-Made,First Generation,25,Bachelor’s,Yes,Low
Demetrio Carceller Coll,Japan,5.09,Media,Self-Made,Second Generation,47,Bachelor’s,Yes,Low
Chen Dongsheng,Saudi Arabia,68.79,Media,Self-Made,First Generation,30,Bachelor’s,Yes,Medium
Todd Christopher,Thailand,40.5,Finance,Self-Made,First Generation,39,Dropout,No,Medium
Ong Beng Seng and Christina Ong,Switzerland,8.77,Media,Self-Made,First Generation,35,None,Yes,High
Xie Zhikun,USA,1.39,Media,Self-Made,First Generation,46,Dropout,Yes,Medium
Zhao Yan,Switzerland,92.11,Tech,Self-Made,First Generation,38,Dropout,Yes,Medium
Osman Kibar,Germany,50.64,Tech,Self-Made,First Generation,30,Dropout,No,Medium
Daniel Kretinsky,Saudi Arabia,70.87,Finance,Self-Made,First Generation,36,Master’s,Yes,Low
Hermann Langness,USA,45.87,Tech,Self-Made,Multi-Generational,35,Bachelor’s,Yes,Low
Lin Su-hon,UK,5.42,Real Estate,Self-Made,Second Generation,25,Master’s,Yes,Low
Phillip T. (Terry) Ragon,Germany,94.91,Real Estate,Self-Made,First Generation,36,Dropout,Yes,Low
Eric Smidt,Brazil,50.15,Energy,Self-Made,Second Generation,27,Bachelor’s,No,Medium
Wu Lanlan & family,Brazil,20.35,Real Estate,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Gu Yuhua & family,USA,1.53,Tech,Self-Made,Second Generation,25,None,Yes,Low
Thomas Hagen,Saudi Arabia,53.59,Manufacturing,Self-Made,First Generation,46,Master’s,Yes,Medium
Wu Xu,Germany,51.09,Manufacturing,Inherited,Second Generation,37,Master’s,No,High
Cai Wensheng,India,10.54,Retail,Self-Made,Second Generation,55,Bachelor’s,Yes,Medium
Chen Dejun,USA,11.15,Tech,Inherited,Multi-Generational,40,Master’s,No,High
Esther Grether,India,13.49,Finance,Self-Made,Second Generation,35,Bachelor’s,Yes,Low
Prajogo Pangestu,Japan,11.63,Energy,Inherited,Multi-Generational,31,Bachelor’s,No,Medium
Arvind Tiku,Switzerland,94.86,Finance,Self-Made,First Generation,44,Dropout,Yes,Low
Chen Xiaoying,Saudi Arabia,12.46,Retail,Self-Made,Multi-Generational,48,Master’s,Yes,High
Yakir Gabay,Thailand,34.93,Finance,Inherited,Multi-Generational,39,Bachelor’s,No,Low
He Simo,Japan,87.94,Retail,Self-Made,Multi-Generational,45,Dropout,No,Low
Masateru Uno & family,Germany,46.12,Real Estate,Self-Made,First Generation,42,PhD,Yes,Medium
Sandro Veronesi & family,Saudi Arabia,29.45,Finance,Inherited,Second Generation,24,Bachelor’s,No,Medium
Christine Volkmann,Switzerland,31.81,Manufacturing,Self-Made,Second Generation,41,Master’s,Yes,Medium
Xiao Yongming & family,Brazil,43.36,Retail,Self-Made,First Generation,29,Bachelor’s,Yes,High
Chen Xueli,Switzerland,22.55,Manufacturing,Self-Made,First Generation,29,Dropout,Yes,Medium
Philippe Ginestet,Switzerland,95.88,Retail,Inherited,Multi-Generational,19,Bachelor’s,No,Low
Christian Latouche,Germany,21.59,Energy,Self-Made,First Generation,42,Dropout,Yes,Medium
Thai Lee,UK,69.28,Finance,Self-Made,Second Generation,34,Master’s,Yes,Low
Gabriele Stoschek,Germany,17.37,Media,Self-Made,Second Generation,51,PhD,Yes,Medium
Su Suyu & family,Brazil,86.53,Tech,Self-Made,First Generation,39,Dropout,No,Medium
Alan N. Trefler,Switzerland,42.74,Real Estate,Self-Made,Second Generation,55,Dropout,No,Medium
Roman Trotsenko,Switzerland,63.55,Energy,Self-Made,Second Generation,31,None,Yes,Medium
Wen Pengcheng & family,Switzerland,26.34,Energy,Self-Made,Multi-Generational,53,None,Yes,Low
Chen Liying,Switzerland,90.3,Media,Inherited,Second Generation,34,Bachelor’s,No,Medium
Chen Qixing,USA,22.57,Retail,Self-Made,Second Generation,35,Dropout,Yes,Medium
Jean-Paul and Martine Clozel,Germany,92.03,Real Estate,Self-Made,Second Generation,29,Dropout,Yes,Low
Luca Garavoglia,USA,44.28,Real Estate,Self-Made,First Generation,36,Bachelor’s,Yes,High
Sergei Gordeev,Switzerland,51.37,Manufacturing,Self-Made,Multi-Generational,44,Master’s,Yes,High
Jiang Xuefei & family,Thailand,85.5,Media,Inherited,Multi-Generational,37,Dropout,No,Low
Li Zongsong & family,Switzerland,9.44,Retail,Inherited,Second Generation,32,None,No,Medium
Georg Stumpf,Brazil,42.26,Media,Inherited,Second Generation,30,Master’s,No,High
Wang Miaotong,India,80.19,Media,Inherited,Multi-Generational,21,Bachelor’s,No,High
Zhang Jingzhang & family,Saudi Arabia,94.88,Energy,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
Ramon Ang,Japan,30.87,Tech,Self-Made,First Generation,37,None,Yes,Medium
Mika Anttonen,USA,87.94,Finance,Self-Made,First Generation,49,Bachelor’s,Yes,High
Lesley Bamberger,Thailand,84.55,Energy,Self-Made,First Generation,51,Master’s,Yes,Medium
Chen Dakui & family,USA,25.62,Media,Inherited,Multi-Generational,40,Bachelor’s,No,Low
Chen Nianci & family,Brazil,78.87,Media,Self-Made,First Generation,47,Master’s,No,Medium
Robert Defares,Saudi Arabia,52.63,Real Estate,Self-Made,First Generation,29,PhD,Yes,Medium
Fu Mingkang & family,UK,16.08,Media,Inherited,Second Generation,28,Bachelor’s,No,Low
Ji Qi,Germany,99.31,Media,Self-Made,Multi-Generational,36,Dropout,Yes,High
Jiang Yehua & family,Saudi Arabia,68.71,Retail,Self-Made,Second Generation,43,Dropout,Yes,Low
Guy Laliberté,Germany,18.65,Tech,Self-Made,Second Generation,43,None,Yes,High
Liu Bing,USA,86.9,Retail,Self-Made,Second Generation,26,Bachelor’s,Yes,Low
Jean Salata,Saudi Arabia,80.02,Media,Self-Made,First Generation,34,Dropout,No,Low
Rajju Shroff,Switzerland,13.27,Manufacturing,Self-Made,First Generation,51,Bachelor’s,Yes,Medium
Manny Stul,Switzerland,60.95,Media,Inherited,Multi-Generational,22,None,No,Medium
Wu Daohong,India,10.76,Energy,Self-Made,First Generation,53,Bachelor’s,Yes,Low
Hamad bin Jassim bin Jaber Al Thani,Thailand,89.44,Real Estate,Inherited,Second Generation,33,PhD,No,Medium
Bao Hongxing & family,Germany,23.27,Retail,Self-Made,Second Generation,48,None,Yes,High
Maurizio Billi & family,UK,70.21,Media,Self-Made,Second Generation,37,Bachelor’s,No,Low
Bo Shijiu & family,USA,98.92,Retail,Inherited,Multi-Generational,34,Master’s,No,High
Jorge Horacio Brito,Saudi Arabia,44.73,Retail,Self-Made,First Generation,28,PhD,Yes,Low
Binod Chaudhary,Germany,57.95,Manufacturing,Inherited,Second Generation,33,Bachelor’s,No,Medium
Bruce Flatt,USA,66.92,Energy,Inherited,Second Generation,18,Bachelor’s,No,Medium
Alexander Klyachin,UK,77.71,Media,Self-Made,First Generation,39,Master’s,Yes,High
Liu Fuhai & family,USA,70.24,Tech,Self-Made,First Generation,41,PhD,No,High
Liu Ruopeng,Brazil,42.94,Retail,Inherited,Multi-Generational,37,Bachelor’s,No,Medium
Ma Xiuhui,Japan,42.05,Media,Inherited,Multi-Generational,37,PhD,No,Medium
Maggie Hardy Knox,Brazil,60.62,Finance,Self-Made,First Generation,48,Master’s,No,Medium
Thomas Prinzhorn,UK,50.62,Tech,Self-Made,First Generation,36,Bachelor’s,Yes,Medium
Vijay Shekhar Sharma,Japan,37.44,Energy,Self-Made,First Generation,47,Dropout,Yes,Low
Bryan Sheffield,India,26.81,Real Estate,Self-Made,First Generation,41,Bachelor’s,No,Low
Julia Stoschek,Switzerland,37.69,Retail,Self-Made,First Generation,37,Bachelor’s,No,Medium
Maximilian Stoschek,USA,57.63,Energy,Inherited,Multi-Generational,38,PhD,No,Low
Satoshi Suzuki,Brazil,77.24,Finance,Self-Made,First Generation,30,Bachelor’s,Yes,Medium
Shamsheer Vayalil,UK,1.24,Manufacturing,Self-Made,Second Generation,41,Bachelor’s,Yes,Low
Xu Qiming,India,26.25,Manufacturing,Inherited,Multi-Generational,26,Bachelor’s,No,Medium
Chi Yufeng,Saudi Arabia,60.18,Energy,Self-Made,First Generation,32,PhD,Yes,Medium
Cui Genliang,Saudi Arabia,75.83,Manufacturing,Inherited,Second Generation,34,Bachelor’s,No,Low
Carl Douglas,Switzerland,82.07,Manufacturing,Self-Made,First Generation,50,Bachelor’s,Yes,Medium
Eric Douglas,Thailand,51.76,Real Estate,Self-Made,Multi-Generational,38,None,No,High
Yasuhiro Fukushima,Thailand,18.87,Finance,Self-Made,First Generation,50,Dropout,Yes,Medium
Archie Hwang,Saudi Arabia,48.51,Real Estate,Self-Made,Second Generation,29,Bachelor’s,Yes,Low
Masayuki Ishihara & family,Japan,26.31,Manufacturing,Self-Made,Second Generation,54,Bachelor’s,No,Medium
Li Rucheng & family,Thailand,6.69,Real Estate,Self-Made,Multi-Generational,29,Master’s,Yes,Low
Nguyen Thi Phuong Thao,Germany,89.93,Real Estate,Self-Made,First Generation,39,Dropout,Yes,Medium
Mahendra Prasad,Switzerland,67.4,Finance,Inherited,Multi-Generational,20,Master’s,No,Low
Chris Sacca,USA,36.53,Manufacturing,Self-Made,Multi-Generational,41,None,Yes,Medium
Analjit Singh,Saudi Arabia,4.27,Finance,Self-Made,First Generation,46,Master’s,Yes,Low
Kevin Systrom,Germany,6.48,Finance,Self-Made,First Generation,42,PhD,Yes,Low
Tang Jianfang,Germany,53.29,Retail,Inherited,Second Generation,37,Master’s,No,Medium
Rit Thirakomen,UK,9.03,Finance,Self-Made,First Generation,32,None,Yes,Low
Wang Yaohai,Switzerland,40.89,Finance,Self-Made,First Generation,49,Bachelor’s,Yes,Medium
Zhang Anqiang,Thailand,4.42,Real Estate,Self-Made,Multi-Generational,47,Bachelor’s,No,Medium
Zhang Xinghai & family,Thailand,52.94,Energy,Inherited,Second Generation,36,PhD,No,Medium
Zhang Xiugen & family,Japan,43.44,Media,Inherited,Second Generation,40,None,No,Medium
Zhang Yue,Thailand,69.32,Retail,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Bang Jun-Hyuk,Thailand,72.36,Real Estate,Self-Made,First Generation,34,None,Yes,High
Markus Blocher,Brazil,62.24,Real Estate,Self-Made,First Generation,40,Dropout,Yes,Medium
Chen Xiaxin & family,Switzerland,15.1,Finance,Self-Made,First Generation,52,None,Yes,Low
Chen Zuyuan,Thailand,93.5,Finance,Inherited,Second Generation,22,Master’s,No,Low
Ivan Chrenko,Thailand,74.47,Energy,Inherited,Multi-Generational,37,Master’s,No,High
Arnold Clark & family,UK,69.69,Finance,Inherited,Second Generation,28,Bachelor’s,No,Low
John Collison,Japan,38.36,Manufacturing,Self-Made,First Generation,38,Master’s,Yes,Low
Patrick Collison,USA,50.3,Energy,Self-Made,First Generation,44,Dropout,Yes,Medium
Sol Daurella,Thailand,37.23,Retail,Inherited,Second Generation,36,Dropout,No,Low
Dominique Desseigne,India,86.8,Retail,Self-Made,Multi-Generational,35,Bachelor’s,No,Low
Jamie Dimon,Japan,98.58,Retail,Self-Made,First Generation,44,Dropout,Yes,Low
Ding Yuhua,Germany,91.08,Real Estate,Self-Made,First Generation,55,Bachelor’s,Yes,Low
Dong Fan,Thailand,59.14,Tech,Self-Made,First Generation,46,PhD,Yes,Low
Fan Zhaoxia & family,Germany,2.29,Real Estate,Inherited,Second Generation,31,None,No,Medium
Hon Kwok Lung & family,Germany,80.98,Manufacturing,Inherited,Multi-Generational,19,Dropout,No,Medium
Hu Baifan,Germany,7.32,Energy,Self-Made,First Generation,37,Master’s,Yes,High
Thomas James,India,7.86,Retail,Self-Made,First Generation,50,Master’s,Yes,Medium
Jin Huiming,UK,14.36,Manufacturing,Inherited,Second Generation,18,Dropout,No,Low
Rana Kapoor,Brazil,6.58,Finance,Self-Made,First Generation,35,Bachelor’s,No,High
Martin Lau,Germany,57.52,Finance,Self-Made,First Generation,47,Dropout,Yes,High
Li Dongjun,UK,33.27,Manufacturing,Inherited,Second Generation,35,None,No,Low
Lin Yi,USA,59.83,Finance,Self-Made,Multi-Generational,38,Bachelor’s,Yes,Low
Louise Lindh,India,90.54,Media,Inherited,Second Generation,39,None,No,Low
Harald Link,Switzerland,31.3,Real Estate,Self-Made,First Generation,29,Bachelor’s,Yes,High
Lo Ka Shui,USA,83.53,Real Estate,Inherited,Multi-Generational,26,PhD,No,High
Lu Jonathan,Thailand,2.04,Tech,Self-Made,Multi-Generational,49,PhD,Yes,High
Ma Yunsheng,USA,42.29,Media,Self-Made,First Generation,51,Bachelor’s,Yes,Low
Prayudh Mahagitsiri,Thailand,62.14,Energy,Self-Made,First Generation,36,PhD,Yes,Medium
Katarina Martinson,Saudi Arabia,82.78,Real Estate,Self-Made,Multi-Generational,43,Bachelor’s,Yes,Medium
Judith Neilson,Saudi Arabia,46.71,Manufacturing,Inherited,Second Generation,40,Bachelor’s,No,High
Georg Nemetschek,Germany,69.7,Energy,Inherited,Multi-Generational,18,Master’s,No,Low
Liora Ofer,Switzerland,42.84,Energy,Self-Made,First Generation,49,Dropout,Yes,Low
Lucy Peng,Saudi Arabia,17.67,Tech,Self-Made,Second Generation,26,Bachelor’s,Yes,Medium
Mohammed Saleh Serafi,India,24.22,Real Estate,Self-Made,Second Generation,42,Bachelor’s,No,High
Shang Jiyong,Saudi Arabia,1.74,Manufacturing,Self-Made,Multi-Generational,36,None,No,Medium
Yoshiko Shinohara,USA,21.52,Real Estate,Self-Made,First Generation,53,Bachelor’s,Yes,Medium
Samprada Singh,Thailand,42.27,Real Estate,Inherited,Multi-Generational,31,Dropout,No,Low
Sun Yinhuan,Thailand,92.1,Tech,Self-Made,Second Generation,54,Master’s,Yes,High
Wang Liping & family,Saudi Arabia,54.9,Retail,Self-Made,First Generation,53,Bachelor’s,No,Low
Wang Zhenhua,Saudi Arabia,68.78,Media,Inherited,Multi-Generational,32,Master’s,No,Medium
Sandy Weill,USA,96.18,Real Estate,Self-Made,Multi-Generational,50,Bachelor’s,Yes,High
Xia Dinghu,Brazil,88.11,Manufacturing,Inherited,Second Generation,29,PhD,No,High
Xiao Chunhong,Germany,95.56,Retail,Self-Made,First Generation,44,PhD,Yes,Low
Xu Xiong,Germany,4.52,Energy,Inherited,Multi-Generational,31,Dropout,No,High
Yao Liangsong,UK,43.39,Manufacturing,Self-Made,Multi-Generational,35,PhD,No,High
Zhang Daocai,UK,22.76,Energy,Self-Made,First Generation,44,PhD,Yes,Medium
Zhao Weiguo,India,66.61,Retail,Self-Made,Second Generation,29,Bachelor’s,Yes,Low
Zhou Yunjie,UK,18.92,Real Estate,Self-Made,First Generation,52,Bachelor’s,Yes,Medium
Marc Andreessen,UK,10.57,Real Estate,Inherited,Second Generation,30,Bachelor’s,No,Low
Mohammed Bahwan,USA,66.26,Energy,Self-Made,First Generation,36,Bachelor’s,No,Medium
Saket Burman,Saudi Arabia,35.21,Tech,Inherited,Multi-Generational,18,Bachelor’s,No,Medium
Yvon Chouinard,Switzerland,19.58,Retail,Self-Made,Second Generation,50,Bachelor’s,No,Low
Eduardo Costantini,Germany,48.78,Real Estate,Self-Made,Second Generation,52,Master’s,No,Low
Philip Day,Japan,55.08,Media,Inherited,Multi-Generational,39,Bachelor’s,No,Low
Marcos Galperin,Thailand,69.93,Media,Self-Made,First Generation,39,Bachelor’s,No,High
Torstein Hagen,Saudi Arabia,61.4,Finance,Self-Made,First Generation,48,Master’s,Yes,Medium
Hoi Kin Hong,USA,39.1,Manufacturing,Inherited,Multi-Generational,26,Bachelor’s,No,Low
"Jon Huntsman, Sr.",Japan,4.72,Retail,Self-Made,First Generation,43,Dropout,Yes,Low
David Kabiller,Thailand,92.27,Manufacturing,Inherited,Second Generation,27,Master’s,No,Low
Lee Sang-Hyuk,UK,84.64,Tech,Self-Made,First Generation,51,PhD,Yes,Medium
Liao Chang,Germany,31.12,Retail,Self-Made,First Generation,47,None,Yes,Low
John Liew,Thailand,38.74,Tech,Self-Made,Multi-Generational,28,Bachelor’s,Yes,High
Desmond Lim Siew Choon,Thailand,88.23,Finance,Self-Made,First Generation,41,Bachelor’s,Yes,Low
Liu Jianjun,Brazil,8.1,Real Estate,Self-Made,First Generation,25,Master’s,Yes,Medium
Liu Zhendong,Germany,66.04,Retail,Inherited,Second Generation,27,Master’s,No,Low
Mi Enhua,Thailand,33.36,Energy,Self-Made,First Generation,31,Bachelor’s,No,High
Jannie Mouton,India,59.88,Real Estate,Inherited,Second Generation,35,Bachelor’s,No,High
Simon Nixon,Japan,88.61,Real Estate,Inherited,Multi-Generational,34,Bachelor’s,No,Medium
Kentaro Ogawa & family,India,97.92,Media,Inherited,Second Generation,32,None,No,Medium
Erik Paulsson,UK,28.27,Retail,Self-Made,First Generation,25,Bachelor’s,No,Low
Pierre Karl Péladeau,Germany,67.73,Manufacturing,Self-Made,First Generation,41,Master’s,No,Low
John Schnatter,Switzerland,64.18,Real Estate,Self-Made,Multi-Generational,50,None,No,Low
Edgar Sia,Switzerland,22.98,Real Estate,Self-Made,First Generation,33,Dropout,No,Medium
Terry Snow,USA,33.86,Tech,Self-Made,First Generation,31,Bachelor’s,No,Medium
Axel Stawski,Thailand,26.76,Finance,Self-Made,Second Generation,49,Bachelor’s,No,High
Tang Shing-bor,Switzerland,88.97,Energy,Self-Made,First Generation,31,PhD,Yes,Medium
Wang Qunbin,UK,30.3,Real Estate,Self-Made,First Generation,26,Dropout,Yes,Medium
David Shou-Yeh Wong,Switzerland,16.48,Retail,Inherited,Multi-Generational,20,Bachelor’s,No,Medium
Fatma Tuba Yazici,Germany,91.77,Real Estate,Self-Made,Second Generation,44,PhD,No,Low
Rob Walton,Thailand,42.57,Media,Self-Made,Second Generation,49,Bachelor’s,Yes,Low
Francoise Bettencourt Meyers & family,India,43.37,Tech,Self-Made,First Generation,45,Master’s,No,Low
Giovanni Ferrero,Brazil,21.16,Energy,Self-Made,Multi-Generational,31,Master’s,Yes,High
Lui Che Woo & family,Brazil,37.36,Manufacturing,Self-Made,First Generation,27,PhD,No,Medium
Alexander Otto,India,60.05,Manufacturing,Self-Made,First Generation,36,Bachelor’s,No,High
Richard Liu,Japan,67.65,Manufacturing,Self-Made,Multi-Generational,31,Master’s,Yes,Medium
Yao Zhenhua & family,Thailand,77.48,Tech,Self-Made,Second Generation,27,Bachelor’s,Yes,Low
Sun Piaoyang & family,Japan,49.81,Energy,Self-Made,Second Generation,50,Bachelor’s,No,Low
Wu Shaoxun,Japan,22.23,Energy,Self-Made,Second Generation,49,Bachelor’s,Yes,Low
Suleiman Kerimov & family,Japan,53.11,Media,Self-Made,First Generation,41,None,Yes,Low
Marijke Mars,India,37.79,Retail,Self-Made,Second Generation,31,None,Yes,High
Pamela Mars,Thailand,18.12,Tech,Self-Made,First Generation,46,None,Yes,Medium
Valerie Mars,USA,94.09,Real Estate,Inherited,Second Generation,26,Master’s,No,High
Victoria Mars,Switzerland,78.17,Real Estate,Inherited,Second Generation,35,Bachelor’s,No,High
Judy Love & family,USA,80.28,Energy,Self-Made,First Generation,28,Dropout,No,Low
Jensen Huang,Thailand,11.55,Tech,Inherited,Multi-Generational,37,Master’s,No,Low
Sofie Kirk Kristiansen,India,55.99,Retail,Self-Made,Multi-Generational,54,Bachelor’s,Yes,Medium
Thomas Kirk Kristiansen,UK,74.64,Media,Self-Made,First Generation,35,Bachelor’s,Yes,Low
Agnete Kirk Thinggaard,USA,27.4,Tech,Inherited,Multi-Generational,33,Master’s,No,Medium
Maria Fernanda Amorim & family,Japan,50.5,Tech,Inherited,Second Generation,39,Bachelor’s,No,Low
Fred Smith,Germany,21.6,Real Estate,Self-Made,First Generation,54,Bachelor’s,Yes,Low
Gabriella Meister & family,Thailand,79.52,Real Estate,Self-Made,First Generation,31,Dropout,Yes,Medium
Jeff Skoll,Saudi Arabia,9.57,Energy,Self-Made,First Generation,39,Bachelor’s,No,Medium
Ted Lerner & family,Thailand,30.03,Retail,Self-Made,Multi-Generational,55,Master’s,Yes,Medium
Lim Kok Thay,India,63.37,Tech,Inherited,Second Generation,28,Master’s,No,Low
Chris Larsen,Saudi Arabia,2.44,Manufacturing,Inherited,Multi-Generational,34,PhD,No,Low
Paul Gauselmann & family,Thailand,2.23,Media,Self-Made,First Generation,43,None,Yes,Medium
Robert F. Smith,Saudi Arabia,67.12,Tech,Inherited,Second Generation,38,Master’s,No,Medium
Rocco Commisso,Switzerland,28.01,Tech,Self-Made,Multi-Generational,27,Master’s,Yes,Low
Fan Hongwei & family,Brazil,10.01,Retail,Self-Made,Second Generation,35,Master’s,Yes,Low
Ben Ashkenazy,Switzerland,21.86,Finance,Self-Made,Multi-Generational,26,Bachelor’s,Yes,Medium
Ursula Bechtolsheimer-Kipp,UK,41.43,Real Estate,Self-Made,Second Generation,54,Master’s,Yes,High
Che Jianxing,Brazil,22.04,Tech,Self-Made,Multi-Generational,26,Dropout,Yes,Low
Zhang Xuexin & family,Germany,31.16,Manufacturing,Self-Made,First Generation,50,PhD,Yes,Low
Zhang Yiming,Brazil,75.16,Tech,Self-Made,First Generation,40,Bachelor’s,No,Low
Katharina Otto-Bernstein,USA,99.83,Energy,Self-Made,First Generation,38,Bachelor’s,Yes,Medium
Zeng Fangqin,Thailand,55.25,Manufacturing,Self-Made,First Generation,35,Dropout,No,Low
"Edward Johnson, IV.",India,19.65,Retail,Self-Made,Second Generation,30,Dropout,No,Medium
Elizabeth Johnson,Japan,43.89,Real Estate,Self-Made,Multi-Generational,25,Dropout,Yes,Low
Sarath Ratanavadi,USA,68.53,Tech,Self-Made,Multi-Generational,48,Dropout,Yes,Medium
Rodger Riney,Thailand,13.29,Retail,Inherited,Multi-Generational,18,Bachelor’s,No,Low
Gabriele Volkmann,Thailand,2.41,Tech,Inherited,Multi-Generational,33,PhD,No,Medium
Zhang Xin & Pan Shiyi,UK,90.98,Energy,Self-Made,First Generation,30,Bachelor’s,Yes,Medium
Maren Otto,Thailand,69.52,Media,Self-Made,First Generation,52,Bachelor’s,Yes,Medium
J.B. Pritzker,UK,2.3,Retail,Self-Made,First Generation,55,Bachelor’s,No,Medium
Melissa Ma,India,37.37,Finance,Inherited,Multi-Generational,34,PhD,No,Medium
Anil Agarwal & family,India,45.77,Energy,Inherited,Multi-Generational,34,Dropout,No,Low
Ken Langone,Germany,55.26,Manufacturing,Self-Made,First Generation,50,None,Yes,Low
Luo Liguo & family,Brazil,88.49,Energy,Inherited,Second Generation,37,Dropout,No,Low
Sameer Gehlaut & family,USA,61.19,Energy,Self-Made,Second Generation,44,Master’s,No,High
