Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Zeng Kaitian,Dropout,None,,No Formal University,None,No,Media,37
Zhang Wanzhen,Educated,Bachelor’s,1986.0,Stanford University,Engineering,No,Manufacturing,27
Zhuang Min,Self-Taught,None,,No Formal University,None,Yes,Retail,25
Jorge Paulo Lemann & family,Educated,Master’s,1987.0,University of Tokyo,None,No,Real Estate,28
François Pinault & family,Educated,PhD,1986.0,ETH Zurich,Law,No,Finance,45
David Reuben,Self-Taught,None,,No Formal University,None,No,Tech,39
Henry Sy,Dropout,None,,No Formal University,None,Yes,Telecom,37
Hans Rausing & family,Educated,PhD,1981.0,MIT,Economics,No,Manufacturing,41
Carlos Alberto Sicupira & family,Educated,Bachelor’s,1973.0,MIT,Engineering,Yes,Manufacturing,44
"Samuel Irving Newhouse, Jr.",Dropout,None,,No Formal University,None,Yes,Media,34
David Green & family,Educated,Bachelor’s,1985.0,MIT,Engineering,No,Finance,34
Tsai Eng-Meng & family,Dropout,None,,No Formal University,None,No,Tech,43
Antonia Ax:son Johnson & family,Self-Taught,None,,No Formal University,None,Yes,Telecom,44
Lin Yu-Ling,Educated,Master’s,1961.0,University of Oxford,Computer Science,No,Retail,34
Juan Francisco Beckmann Vidal & family,Educated,Bachelor’s,1988.0,University of Oxford,Economics,No,Retail,33
Vincent Bolloré & family,Educated,Bachelor’s,1976.0,University of Oxford,Engineering,Yes,Finance,40
Maria-Elisabeth Schaeffler-Thumann,Dropout,None,,No Formal University,None,Yes,Media,23
Zhao Tao,Self-Taught,None,,No Formal University,None,No,Tech,29
Abdulla Al Futtaim & family,Educated,PhD,1965.0,University of Tokyo,History,Yes,Retail,24
Suhail Bahwan,Educated,Bachelor’s,1969.0,MIT,Engineering,No,Retail,27
Xu Bo,Educated,Bachelor’s,1993.0,Harvard University,Engineering,Yes,Manufacturing,23
Giuseppe De'Longhi & family,Educated,Master’s,2015.0,No Formal University,History,Yes,Retail,39
Winifred Johnson-Marquart,Educated,Bachelor’s,1970.0,Stanford University,Economics,Yes,Manufacturing,44
Lucio Tan,Educated,Master’s,1977.0,No Formal University,None,Yes,Manufacturing,25
Dominika Kulczyk,Dropout,None,,No Formal University,None,No,Telecom,27
Yu Huijiao,Educated,PhD,1975.0,No Formal University,Economics,No,Media,27
Bajaj brothers,Dropout,None,,No Formal University,None,Yes,Manufacturing,38
George Ty,Self-Taught,None,,No Formal University,None,No,Finance,27
Nusli Wadia,Educated,Bachelor’s,1968.0,Stanford University,None,No,Manufacturing,30
Tony Tan Caktiong,Educated,Bachelor’s,2005.0,Harvard University,History,Yes,Finance,42
Nie Tengyun & family,Dropout,None,,No Formal University,None,Yes,Tech,34
Pawan Munjal & family,Educated,Bachelor’s,1993.0,No Formal University,Law,No,Manufacturing,39
Clifford Asness,Dropout,None,,No Formal University,None,No,Telecom,38
Allan Goldman,Educated,Master’s,2005.0,No Formal University,History,No,Media,30
Jane Goldman,Educated,Bachelor’s,1992.0,No Formal University,Law,Yes,Media,23
Amy Goldman Fowler,Educated,Master’s,1983.0,No Formal University,Business,Yes,Manufacturing,35
Diane Kemper,Educated,Bachelor’s,1961.0,MIT,Law,Yes,Media,22
Jean-Pierre Cayard,Educated,Master’s,2008.0,Stanford University,Law,Yes,Telecom,31
Meisong Lai,Educated,Bachelor’s,1974.0,University of Oxford,Business,No,Real Estate,36
Zhang Fan,Dropout,None,,No Formal University,None,No,Finance,36
Zhang Xiaojuan,Educated,PhD,1975.0,Stanford University,History,Yes,Retail,33
Charles Cohen,Educated,Bachelor’s,1984.0,ETH Zurich,None,No,Tech,41
Tahir & family,Educated,PhD,1995.0,University of Oxford,Economics,No,Tech,33
Jen-Hsun Huang,Educated,Bachelor’s,1992.0,Stanford University,Economics,Yes,Finance,45
Sebastian Piñera & family,Dropout,None,,No Formal University,None,No,Tech,22
Rita Tong Liu,Educated,Master’s,1983.0,Harvard University,Law,No,Retail,41
Svein Stole,Educated,Master’s,1978.0,MIT,Economics,Yes,Real Estate,37
Zhang Jin,Educated,Master’s,2002.0,No Formal University,Computer Science,Yes,Finance,34
Acharya Balkrishna,Educated,Master’s,2006.0,ETH Zurich,History,No,Finance,26
Li Gaiteng,Dropout,None,,No Formal University,None,Yes,Tech,41
Nick Caporella,Educated,Bachelor’s,1962.0,Harvard University,Business,Yes,Finance,28
Radhakishan Damani & family,Educated,Bachelor’s,2011.0,No Formal University,Engineering,No,Manufacturing,40
Bernard Lewis & family,Educated,PhD,1960.0,Harvard University,Engineering,Yes,Retail,45
Tsai Cheng-ta,Educated,Bachelor’s,1989.0,Stanford University,History,No,Tech,24
Demetrio Carceller Coll,Dropout,None,,No Formal University,None,No,Manufacturing,45
Chen Dongsheng,Self-Taught,None,,No Formal University,None,No,Retail,40
Todd Christopher,Educated,PhD,2012.0,ETH Zurich,Business,No,Manufacturing,26
Ong Beng Seng and Christina Ong,Dropout,None,,No Formal University,None,No,Media,41
Xie Zhikun,Dropout,None,,No Formal University,None,Yes,Finance,22
Zhao Yan,Educated,Bachelor’s,1992.0,MIT,Law,No,Tech,40
Osman Kibar,Educated,PhD,1966.0,No Formal University,Engineering,Yes,Media,29
Daniel Kretinsky,Self-Taught,None,,No Formal University,None,Yes,Real Estate,26
Hermann Langness,Self-Taught,None,,No Formal University,None,No,Real Estate,45
Lin Su-hon,Educated,Master’s,1979.0,Harvard University,Engineering,Yes,Manufacturing,37
Phillip T. (Terry) Ragon,Self-Taught,None,,No Formal University,None,Yes,Media,32
Eric Smidt,Self-Taught,None,,No Formal University,None,Yes,Real Estate,34
Wu Lanlan & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,37
Gu Yuhua & family,Self-Taught,None,,No Formal University,None,No,Retail,25
Thomas Hagen,Educated,Bachelor’s,1991.0,University of Oxford,Computer Science,Yes,Real Estate,35
Wu Xu,Self-Taught,None,,No Formal University,None,No,Finance,41
Cai Wensheng,Self-Taught,None,,No Formal University,None,No,Finance,41
Chen Dejun,Educated,Bachelor’s,1965.0,Harvard University,Economics,Yes,Media,45
Esther Grether,Educated,Master’s,1991.0,Harvard University,None,Yes,Tech,22
Prajogo Pangestu,Educated,Bachelor’s,1978.0,No Formal University,Business,No,Telecom,40
Arvind Tiku,Educated,Bachelor’s,1979.0,MIT,Economics,Yes,Manufacturing,24
Chen Xiaoying,Self-Taught,None,,No Formal University,None,Yes,Media,28
Yakir Gabay,Dropout,None,,No Formal University,None,No,Media,37
He Simo,Educated,Master’s,1999.0,No Formal University,Computer Science,Yes,Media,41
Masateru Uno & family,Educated,Bachelor’s,1998.0,No Formal University,Business,Yes,Telecom,44
Sandro Veronesi & family,Educated,Bachelor’s,1974.0,ETH Zurich,Business,Yes,Real Estate,32
Christine Volkmann,Dropout,None,,No Formal University,None,No,Media,36
Xiao Yongming & family,Educated,Master’s,1978.0,ETH Zurich,History,No,Real Estate,29
Chen Xueli,Dropout,None,,No Formal University,None,No,Telecom,32
Philippe Ginestet,Educated,Bachelor’s,2005.0,Stanford University,Economics,Yes,Tech,40
Christian Latouche,Self-Taught,None,,No Formal University,None,Yes,Tech,36
Thai Lee,Educated,Master’s,1978.0,No Formal University,Business,No,Manufacturing,29
Gabriele Stoschek,Dropout,None,,No Formal University,None,No,Real Estate,25
Su Suyu & family,Self-Taught,None,,No Formal University,None,No,Telecom,28
Alan N. Trefler,Self-Taught,None,,No Formal University,None,Yes,Retail,27
Roman Trotsenko,Educated,Bachelor’s,1963.0,Harvard University,None,No,Real Estate,27
Wen Pengcheng & family,Self-Taught,None,,No Formal University,None,No,Telecom,34
Chen Liying,Dropout,None,,No Formal University,None,No,Real Estate,26
Chen Qixing,Self-Taught,None,,No Formal University,None,No,Telecom,32
Jean-Paul and Martine Clozel,Self-Taught,None,,No Formal University,None,Yes,Tech,27
Luca Garavoglia,Self-Taught,None,,No Formal University,None,No,Tech,37
Sergei Gordeev,Self-Taught,None,,No Formal University,None,No,Finance,23
Jiang Xuefei & family,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,41
Li Zongsong & family,Educated,Bachelor’s,1972.0,ETH Zurich,Engineering,No,Tech,22
Georg Stumpf,Dropout,None,,No Formal University,None,No,Media,41
Wang Miaotong,Educated,Bachelor’s,1990.0,No Formal University,None,Yes,Finance,26
Zhang Jingzhang & family,Educated,Master’s,2007.0,ETH Zurich,Computer Science,No,Manufacturing,34
Ramon Ang,Self-Taught,None,,No Formal University,None,Yes,Real Estate,45
Mika Anttonen,Self-Taught,None,,No Formal University,None,No,Telecom,40
Lesley Bamberger,Educated,Master’s,2008.0,University of Oxford,Economics,No,Retail,22
Chen Dakui & family,Educated,Master’s,2010.0,Harvard University,Law,No,Real Estate,41
Chen Nianci & family,Educated,PhD,2013.0,University of Tokyo,Engineering,No,Retail,31
Robert Defares,Self-Taught,None,,No Formal University,None,Yes,Media,29
Fu Mingkang & family,Dropout,None,,No Formal University,None,No,Real Estate,30
Ji Qi,Educated,Bachelor’s,1974.0,No Formal University,Law,Yes,Real Estate,22
Jiang Yehua & family,Educated,PhD,2011.0,No Formal University,Business,No,Tech,38
Guy Laliberté,Self-Taught,None,,No Formal University,None,No,Media,41
Liu Bing,Dropout,None,,No Formal University,None,No,Manufacturing,28
Jean Salata,Educated,Master’s,2009.0,Harvard University,None,Yes,Real Estate,39
Rajju Shroff,Dropout,None,,No Formal University,None,Yes,Manufacturing,42
Manny Stul,Educated,Master’s,1965.0,MIT,History,Yes,Real Estate,22
Wu Daohong,Educated,PhD,2006.0,MIT,Engineering,No,Telecom,30
Hamad bin Jassim bin Jaber Al Thani,Educated,PhD,1973.0,ETH Zurich,Engineering,No,Tech,31
Bao Hongxing & family,Educated,Master’s,1995.0,ETH Zurich,Economics,Yes,Finance,25
Maurizio Billi & family,Self-Taught,None,,No Formal University,None,Yes,Finance,24
Bo Shijiu & family,Dropout,None,,No Formal University,None,No,Finance,25
Jorge Horacio Brito,Dropout,None,,No Formal University,None,No,Tech,38
Binod Chaudhary,Dropout,None,,No Formal University,None,No,Manufacturing,25
Bruce Flatt,Educated,Master’s,2010.0,Harvard University,Business,Yes,Retail,27
Alexander Klyachin,Educated,Bachelor’s,1976.0,ETH Zurich,Economics,Yes,Tech,27
Liu Fuhai & family,Educated,Bachelor’s,2012.0,ETH Zurich,Computer Science,Yes,Real Estate,42
Liu Ruopeng,Educated,Bachelor’s,1984.0,No Formal University,None,No,Tech,38
Ma Xiuhui,Dropout,None,,No Formal University,None,No,Finance,27
Maggie Hardy Knox,Educated,Master’s,2009.0,University of Tokyo,History,Yes,Telecom,29
Thomas Prinzhorn,Self-Taught,None,,No Formal University,None,No,Manufacturing,36
Vijay Shekhar Sharma,Educated,Master’s,1972.0,Harvard University,Economics,No,Finance,22
Bryan Sheffield,Educated,Bachelor’s,2002.0,MIT,History,No,Real Estate,45
Julia Stoschek,Self-Taught,None,,No Formal University,None,No,Media,36
Maximilian Stoschek,Educated,PhD,1998.0,University of Tokyo,Computer Science,Yes,Manufacturing,26
Satoshi Suzuki,Educated,Master’s,1995.0,ETH Zurich,None,No,Tech,41
Shamsheer Vayalil,Self-Taught,None,,No Formal University,None,No,Finance,31
Xu Qiming,Educated,Bachelor’s,1962.0,No Formal University,Economics,Yes,Retail,43
Chi Yufeng,Self-Taught,None,,No Formal University,None,Yes,Telecom,30
Cui Genliang,Self-Taught,None,,No Formal University,None,Yes,Retail,32
Carl Douglas,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,33
Eric Douglas,Educated,Bachelor’s,1979.0,University of Oxford,Economics,Yes,Retail,32
Yasuhiro Fukushima,Educated,Bachelor’s,1968.0,University of Tokyo,Computer Science,Yes,Retail,25
Archie Hwang,Educated,Bachelor’s,1981.0,MIT,Economics,Yes,Manufacturing,28
Masayuki Ishihara & family,Educated,Bachelor’s,1963.0,MIT,Business,Yes,Media,44
Li Rucheng & family,Educated,Master’s,2004.0,University of Tokyo,Business,No,Tech,34
Nguyen Thi Phuong Thao,Dropout,None,,No Formal University,None,Yes,Retail,35
Mahendra Prasad,Educated,Bachelor’s,2007.0,Harvard University,Engineering,Yes,Tech,40
Chris Sacca,Educated,PhD,1962.0,University of Oxford,None,No,Real Estate,39
Analjit Singh,Educated,Bachelor’s,1995.0,No Formal University,Engineering,Yes,Retail,27
Kevin Systrom,Educated,PhD,2004.0,No Formal University,Economics,Yes,Real Estate,28
Tang Jianfang,Dropout,None,,No Formal University,None,Yes,Finance,45
Rit Thirakomen,Self-Taught,None,,No Formal University,None,Yes,Real Estate,22
Wang Yaohai,Dropout,None,,No Formal University,None,No,Manufacturing,45
Zhang Anqiang,Dropout,None,,No Formal University,None,Yes,Real Estate,39
Zhang Xinghai & family,Educated,Bachelor’s,1999.0,ETH Zurich,Law,Yes,Media,38
Zhang Xiugen & family,Educated,Bachelor’s,1997.0,University of Oxford,Computer Science,No,Retail,29
Zhang Yue,Dropout,None,,No Formal University,None,Yes,Telecom,35
Bang Jun-Hyuk,Educated,Master’s,1960.0,Harvard University,Law,Yes,Telecom,30
Markus Blocher,Dropout,None,,No Formal University,None,Yes,Media,42
Chen Xiaxin & family,Educated,PhD,1975.0,Stanford University,History,Yes,Finance,29
Chen Zuyuan,Dropout,None,,No Formal University,None,Yes,Telecom,34
Ivan Chrenko,Educated,Bachelor’s,1967.0,University of Tokyo,Economics,Yes,Telecom,25
Arnold Clark & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,25
John Collison,Educated,Bachelor’s,1969.0,ETH Zurich,History,Yes,Media,33
Patrick Collison,Educated,Bachelor’s,2002.0,University of Tokyo,History,No,Real Estate,43
Sol Daurella,Educated,Master’s,1973.0,University of Oxford,Business,Yes,Media,43
Dominique Desseigne,Self-Taught,None,,No Formal University,None,Yes,Real Estate,37
Jamie Dimon,Self-Taught,None,,No Formal University,None,No,Tech,30
Ding Yuhua,Educated,Bachelor’s,1963.0,No Formal University,None,Yes,Telecom,36
Dong Fan,Educated,Bachelor’s,1967.0,MIT,Engineering,No,Retail,27
Fan Zhaoxia & family,Educated,Bachelor’s,2010.0,No Formal University,Computer Science,Yes,Manufacturing,36
Hon Kwok Lung & family,Educated,Master’s,1988.0,Stanford University,History,No,Media,37
Hu Baifan,Self-Taught,None,,No Formal University,None,No,Finance,37
Thomas James,Educated,PhD,1961.0,No Formal University,Engineering,No,Real Estate,29
Jin Huiming,Self-Taught,None,,No Formal University,None,Yes,Tech,30
Rana Kapoor,Dropout,None,,No Formal University,None,No,Telecom,25
Martin Lau,Educated,Master’s,2011.0,MIT,History,No,Tech,24
Li Dongjun,Educated,PhD,1975.0,MIT,Business,Yes,Media,43
Lin Yi,Self-Taught,None,,No Formal University,None,Yes,Telecom,37
Louise Lindh,Self-Taught,None,,No Formal University,None,Yes,Finance,22
Harald Link,Educated,Master’s,1995.0,University of Oxford,Computer Science,No,Tech,37
Lo Ka Shui,Educated,Bachelor’s,1979.0,ETH Zurich,None,No,Retail,44
Lu Jonathan,Self-Taught,None,,No Formal University,None,Yes,Telecom,34
Ma Yunsheng,Dropout,None,,No Formal University,None,No,Tech,34
Prayudh Mahagitsiri,Educated,Bachelor’s,1975.0,MIT,Economics,No,Retail,37
Katarina Martinson,Dropout,None,,No Formal University,None,No,Real Estate,29
Judith Neilson,Educated,Master’s,2004.0,Harvard University,Economics,Yes,Finance,35
Georg Nemetschek,Self-Taught,None,,No Formal University,None,Yes,Real Estate,35
Liora Ofer,Educated,Master’s,1966.0,ETH Zurich,Computer Science,No,Telecom,26
Lucy Peng,Educated,Bachelor’s,1983.0,Harvard University,Economics,No,Tech,40
Mohammed Saleh Serafi,Educated,PhD,2001.0,University of Tokyo,Law,Yes,Tech,32
Shang Jiyong,Self-Taught,None,,No Formal University,None,Yes,Tech,30
Yoshiko Shinohara,Dropout,None,,No Formal University,None,Yes,Tech,37
Samprada Singh,Dropout,None,,No Formal University,None,Yes,Telecom,44
Sun Yinhuan,Dropout,None,,No Formal University,None,No,Media,28
Wang Liping & family,Dropout,None,,No Formal University,None,No,Tech,24
Wang Zhenhua,Educated,Bachelor’s,1996.0,MIT,Economics,No,Telecom,33
Sandy Weill,Self-Taught,None,,No Formal University,None,No,Manufacturing,44
Xia Dinghu,Educated,Master’s,2000.0,University of Tokyo,Economics,No,Finance,27
Xiao Chunhong,Self-Taught,None,,No Formal University,None,Yes,Telecom,23
Xu Xiong,Dropout,None,,No Formal University,None,Yes,Media,28
Yao Liangsong,Educated,Bachelor’s,1963.0,ETH Zurich,Law,Yes,Manufacturing,26
Zhang Daocai,Educated,Master’s,2006.0,Stanford University,Business,No,Media,43
Zhao Weiguo,Educated,Master’s,2013.0,Stanford University,Law,No,Tech,27
Zhou Yunjie,Educated,Master’s,2003.0,No Formal University,Law,Yes,Tech,27
Marc Andreessen,Educated,Bachelor’s,1966.0,University of Oxford,Engineering,Yes,Retail,44
Mohammed Bahwan,Educated,Master’s,2003.0,University of Tokyo,Computer Science,No,Real Estate,27
Saket Burman,Self-Taught,None,,No Formal University,None,Yes,Real Estate,35
Yvon Chouinard,Educated,PhD,1988.0,MIT,Business,No,Manufacturing,28
Eduardo Costantini,Self-Taught,None,,No Formal University,None,Yes,Finance,34
Philip Day,Educated,Master’s,1989.0,Harvard University,None,Yes,Media,44
Marcos Galperin,Educated,Bachelor’s,2007.0,ETH Zurich,Computer Science,Yes,Manufacturing,37
Torstein Hagen,Educated,Master’s,2005.0,ETH Zurich,None,Yes,Tech,38
Hoi Kin Hong,Educated,PhD,2011.0,Stanford University,Engineering,Yes,Manufacturing,41
"Jon Huntsman, Sr.",Educated,Bachelor’s,1994.0,University of Tokyo,Economics,No,Manufacturing,39
David Kabiller,Educated,Bachelor’s,1995.0,Stanford University,None,Yes,Tech,35
Lee Sang-Hyuk,Educated,PhD,1968.0,No Formal University,None,Yes,Telecom,42
Liao Chang,Educated,Bachelor’s,1988.0,Harvard University,Law,Yes,Telecom,32
John Liew,Educated,Master’s,2014.0,MIT,Economics,Yes,Media,22
Desmond Lim Siew Choon,Dropout,None,,No Formal University,None,Yes,Media,45
Liu Jianjun,Educated,Bachelor’s,2008.0,ETH Zurich,None,Yes,Tech,44
Liu Zhendong,Educated,PhD,1966.0,University of Oxford,None,No,Tech,42
Mi Enhua,Dropout,None,,No Formal University,None,Yes,Telecom,26
Jannie Mouton,Self-Taught,None,,No Formal University,None,No,Real Estate,43
Simon Nixon,Educated,PhD,2001.0,MIT,None,No,Retail,27
Kentaro Ogawa & family,Educated,PhD,1998.0,ETH Zurich,Computer Science,No,Retail,37
Erik Paulsson,Educated,Master’s,1969.0,Stanford University,None,No,Manufacturing,41
Pierre Karl Péladeau,Dropout,None,,No Formal University,None,No,Real Estate,37
John Schnatter,Educated,Bachelor’s,1961.0,Harvard University,Computer Science,Yes,Tech,43
Edgar Sia,Educated,Bachelor’s,1982.0,ETH Zurich,Business,Yes,Retail,45
Terry Snow,Educated,Master’s,1985.0,University of Oxford,Computer Science,Yes,Finance,35
Axel Stawski,Educated,Bachelor’s,1974.0,MIT,Business,Yes,Retail,31
Tang Shing-bor,Self-Taught,None,,No Formal University,None,No,Telecom,23
Wang Qunbin,Educated,Bachelor’s,1990.0,Harvard University,Law,Yes,Finance,35
David Shou-Yeh Wong,Dropout,None,,No Formal University,None,No,Manufacturing,33
Fatma Tuba Yazici,Dropout,None,,No Formal University,None,Yes,Media,41
Rob Walton,Dropout,None,,No Formal University,None,Yes,Finance,24
Francoise Bettencourt Meyers & family,Educated,PhD,1967.0,No Formal University,Law,No,Media,38
Giovanni Ferrero,Educated,Master’s,1993.0,ETH Zurich,Economics,No,Telecom,45
Lui Che Woo & family,Educated,PhD,1971.0,University of Tokyo,Law,No,Finance,38
Alexander Otto,Educated,Master’s,1972.0,University of Tokyo,History,Yes,Real Estate,30
Richard Liu,Educated,Master’s,1969.0,ETH Zurich,Law,No,Telecom,27
Yao Zhenhua & family,Educated,Master’s,2002.0,ETH Zurich,Business,No,Retail,27
Sun Piaoyang & family,Educated,PhD,2008.0,ETH Zurich,Engineering,No,Telecom,45
Wu Shaoxun,Self-Taught,None,,No Formal University,None,No,Finance,25
Suleiman Kerimov & family,Educated,Master’s,1965.0,University of Oxford,None,Yes,Media,34
Marijke Mars,Educated,PhD,1984.0,Stanford University,Business,No,Media,31
Pamela Mars,Self-Taught,None,,No Formal University,None,Yes,Finance,34
Valerie Mars,Dropout,None,,No Formal University,None,No,Retail,39
Victoria Mars,Dropout,None,,No Formal University,None,No,Finance,45
Judy Love & family,Educated,Bachelor’s,1984.0,MIT,Law,No,Media,31
Jensen Huang,Educated,PhD,1993.0,University of Tokyo,Economics,Yes,Telecom,25
Sofie Kirk Kristiansen,Educated,Master’s,1992.0,University of Tokyo,Engineering,No,Retail,45
Thomas Kirk Kristiansen,Self-Taught,None,,No Formal University,None,No,Manufacturing,44
Agnete Kirk Thinggaard,Educated,Master’s,1962.0,MIT,History,Yes,Media,31
Maria Fernanda Amorim & family,Educated,PhD,1973.0,No Formal University,None,No,Finance,38
Fred Smith,Educated,Bachelor’s,2005.0,Harvard University,Law,Yes,Media,26
Gabriella Meister & family,Self-Taught,None,,No Formal University,None,Yes,Tech,44
Jeff Skoll,Educated,Master’s,2006.0,No Formal University,Economics,Yes,Manufacturing,28
Ted Lerner & family,Educated,Bachelor’s,2003.0,Stanford University,Law,Yes,Finance,34
Lim Kok Thay,Dropout,None,,No Formal University,None,Yes,Tech,35
Chris Larsen,Self-Taught,None,,No Formal University,None,Yes,Tech,41
Paul Gauselmann & family,Dropout,None,,No Formal University,None,No,Media,32
Robert F. Smith,Self-Taught,None,,No Formal University,None,Yes,Real Estate,38
Rocco Commisso,Self-Taught,None,,No Formal University,None,Yes,Tech,27
Fan Hongwei & family,Educated,Bachelor’s,2011.0,Harvard University,Computer Science,Yes,Retail,35
Ben Ashkenazy,Educated,Bachelor’s,1998.0,University of Tokyo,Economics,Yes,Telecom,34
Ursula Bechtolsheimer-Kipp,Educated,Master’s,1991.0,MIT,History,No,Media,41
Che Jianxing,Educated,Master’s,1986.0,Harvard University,Computer Science,Yes,Real Estate,33
Zhang Xuexin & family,Dropout,None,,No Formal University,None,No,Finance,23
Zhang Yiming,Educated,Master’s,2011.0,Harvard University,None,No,Tech,39
Katharina Otto-Bernstein,Educated,Bachelor’s,1993.0,University of Oxford,Business,Yes,Manufacturing,26
Zeng Fangqin,Dropout,None,,No Formal University,None,No,Finance,27
"Edward Johnson, IV.",Self-Taught,None,,No Formal University,None,Yes,Finance,41
Elizabeth Johnson,Dropout,None,,No Formal University,None,Yes,Tech,29
Sarath Ratanavadi,Educated,Bachelor’s,1986.0,Harvard University,Economics,No,Tech,44
Rodger Riney,Dropout,None,,No Formal University,None,No,Finance,38
Gabriele Volkmann,Educated,PhD,1962.0,No Formal University,Business,Yes,Media,32
Zhang Xin & Pan Shiyi,Educated,PhD,1987.0,University of Oxford,None,Yes,Manufacturing,44
Maren Otto,Educated,Master’s,1987.0,No Formal University,None,Yes,Tech,28
J.B. Pritzker,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,28
Melissa Ma,Educated,Bachelor’s,1998.0,Harvard University,None,Yes,Real Estate,26
Anil Agarwal & family,Dropout,None,,No Formal University,None,Yes,Retail,45
Ken Langone,Educated,PhD,2009.0,Stanford University,Business,No,Retail,23
Luo Liguo & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,40
Sameer Gehlaut & family,Educated,Master’s,1991.0,University of Oxford,None,Yes,Manufacturing,28
Cheng Cheung Ling,Self-Taught,None,,No Formal University,None,No,Retail,45
Lai Meisong,Self-Taught,None,,No Formal University,None,Yes,Finance,31
Richard Sands,Self-Taught,None,,No Formal University,None,Yes,Media,38
Wang Jian,Self-Taught,None,,No Formal University,None,Yes,Retail,31
Luis Frias,Educated,PhD,1995.0,ETH Zurich,Computer Science,Yes,Real Estate,23
Robert Sands,Educated,Master’s,1999.0,ETH Zurich,Economics,Yes,Tech,43
Herb Simon,Educated,Master’s,1961.0,University of Tokyo,None,Yes,Manufacturing,33
Don Vultaggio & family,Self-Taught,None,,No Formal University,None,Yes,Media,31
Wu Kaiting,Educated,Bachelor’s,1961.0,ETH Zurich,Law,No,Manufacturing,27
Chuck Bundrant,Educated,Master’s,1996.0,University of Tokyo,History,No,Media,41
Cai Dongchen,Educated,Bachelor’s,2009.0,ETH Zurich,Business,No,Tech,38
Saeed Bin Butti Al Qebaisi,Educated,Master’s,1983.0,University of Tokyo,Law,Yes,Finance,32
Phil Ruffin,Educated,Bachelor’s,2009.0,University of Tokyo,Business,Yes,Finance,28
Frank VanderSloot,Educated,PhD,2011.0,No Formal University,Engineering,No,Media,26
Zhang Wenzhong,Dropout,None,,No Formal University,None,No,Real Estate,40
Zuo Hui,Educated,PhD,1986.0,University of Tokyo,History,Yes,Manufacturing,37
Shen Yuxing,Educated,Master’s,1989.0,No Formal University,Law,Yes,Telecom,36
Bert Beveridge,Educated,Bachelor’s,1995.0,ETH Zurich,Engineering,Yes,Retail,43
Aerin Lauder,Dropout,None,,No Formal University,None,No,Telecom,29
David Zalik,Self-Taught,None,,No Formal University,None,Yes,Telecom,39
Jai Hari & Yadu Hari Dalmia & family,Dropout,None,,No Formal University,None,No,Media,22
Koon Poh Keong,Self-Taught,None,,No Formal University,None,No,Telecom,25
Chen Hua,Self-Taught,None,,No Formal University,None,No,Retail,22
Murali Divi & family,Educated,PhD,1969.0,University of Oxford,Computer Science,No,Manufacturing,43
Thomas Flohr,Educated,Master’s,1965.0,No Formal University,Computer Science,No,Manufacturing,34
Murli Dhar & Bimal Kumar Gyanchandani,Educated,Master’s,2013.0,Stanford University,Economics,No,Media,35
Bradley Jacobs,Educated,PhD,1969.0,No Formal University,Engineering,No,Manufacturing,32
J. Joe Ricketts & family,Self-Taught,None,,No Formal University,None,Yes,Retail,28
Shyam & Hari Bhartia,Dropout,None,,No Formal University,None,No,Manufacturing,26
Jim Coulter,Educated,Master’s,1979.0,No Formal University,Computer Science,No,Telecom,23
"Ernest Garcia, II.",Self-Taught,None,,No Formal University,None,Yes,Real Estate,29
Tomas Olivo Lopez,Educated,Master’s,1992.0,University of Oxford,Computer Science,No,Real Estate,24
Bob Gaglardi,Self-Taught,None,,No Formal University,None,Yes,Media,34
Li Xiting,Educated,Bachelor’s,2002.0,Stanford University,None,No,Media,22
Mao Lixiang & family,Educated,Bachelor’s,1993.0,Harvard University,Computer Science,No,Tech,31
Alexey Repik,Dropout,None,,No Formal University,None,Yes,Media,45
Dong Wei,Educated,Bachelor’s,2009.0,Stanford University,None,Yes,Media,40
Ramesh Juneja & family,Self-Taught,None,,No Formal University,None,No,Telecom,26
Henry Laufer,Educated,Bachelor’s,2000.0,MIT,Business,Yes,Real Estate,36
Li Ge,Educated,Bachelor’s,1970.0,Harvard University,History,No,Finance,45
Chuchat & Daonapa Petaumpai,Educated,PhD,2002.0,Stanford University,Computer Science,Yes,Retail,22
Arvind Poddar,Educated,Bachelor’s,2015.0,University of Oxford,History,No,Real Estate,23
Jean-Paul Clozel,Self-Taught,None,,No Formal University,None,Yes,Media,30
Shmuel Harlap,Educated,PhD,2003.0,University of Tokyo,Business,Yes,Finance,28
Liang Jiankun & family,Educated,Bachelor’s,1968.0,MIT,Business,Yes,Finance,33
Liao Long-shing & family,Self-Taught,None,,No Formal University,None,No,Tech,36
Lin Shu-Hong,Educated,Bachelor’s,1960.0,Stanford University,None,Yes,Telecom,25
Alan Trefler,Educated,Bachelor’s,1984.0,Harvard University,Engineering,No,Finance,38
Robin Zeng,Self-Taught,None,,No Formal University,None,No,Finance,36
